"experiment","code","cat","sep","amount.mn","app.rate.mn","TS","VS","ESA","mm2","mm2TS","density.mn","K.mn","n.mn","r2.mn","NH4","totN","pH.lab","pH.field"
"23G","B sep","High straw","Screw press",19,46,"7.03  ±  0.0137","68.52  ±  0.06715","16  ±  2.2","-0.00679  ±  0.00406","-0.0966  ±  0.0575",1.02,1404,-0.477,0.997,"2.4  ±  0.17","4.7  ±  0.26","7.7  ±  0.064","7.9  ±  0.0071"
"23G","C","No straw","",21,55,"4.34  ±  0.044","66.02  ±  0.05757","16  ±  2.6","0.153  ±  0.00978","3.54  ±  0.19",1.02,148.9,-0.419,0.995,"2.6  ±  0.27","3.9  ±  0.14","8  ±  0.021","8.2  ±  0"
"23G","C sep","No straw","Decanter",19,64,"2.52  ±  0.00217","58.57  ±  0.09937","14  ±  4.6","0  ±  0","0  ±  0",1.01,46.89,-0.28,0.944,"3.4  ±  0.48","5  ±  0.054","7.9  ±  0.035","8  ±  0.0071"
"23H","A","Medium straw","",35,56,"5.61  ±  0.0472","75.39  ±  0.1864","16  ±  2.9","0.955  ±  0.031","17  ±  0.41",1.02,867.8,-0.512,0.977,"1.6  ±  0.14","3  ±  0.17","7.7  ±  0.14","8  ±  0.014"
"23H","B","High straw","",23,54,"9.29  ±  0.000272","74.37  ±  0.1688","13  ±  1.6","1.79  ±  0.0942","19.2  ±  1.01",1.03,6016,-0.611,0.998,"2.3  ±  0.18","4.8  ±  0.055","7.9  ±  0.099","8.4  ±  0"
"23H","D","No straw","",20,52,"5.91  ±  0.0363","68.1  ±  0.251","11  ±  1.8","0.326  ±  0.0344","5.52  ±  0.616",1.01,617.2,-0.479,1,"2.6  ±  0.033","4.2  ±  0.022","7.8  ±  0.035","8  ±  0"
"23H","E","High straw","",29,52,"10.6  ±  0.031","71.67  ±  0.02727","14  ±  0.3","2.81  ±  0.0359","26.7  ±  0.419",1.03,1492,-0.658,0.999,"1.8  ±  0.11","4.5  ±  0.87","7.7  ±  0.014","8.1  ±  0.021"
"23H","F","High grass and solid manure","",22,55,"6.48  ±  0.0484","75.24  ±  0.2535","14  ±  0.79","1.1  ±  0.0404","17  ±  0.75",1.02,1061,-0.496,0.994,"2.5  ±  0.2","4.3  ±  0.073","7.8  ±  0.0071","8.1  ±  0.0071"
"23I","A","Medium straw","",35,48,"5.68  ±  0.00771","76.06  ±  0.008608","18  ±  1.4","0.756  ±  0.063","13.3  ±  1.09",1.02,931.5,-0.519,0.995,"1.4  ±  0.13","3  ±  0.26","7.7  ±  0.021","NA  ±  NA"
"23I","C","No straw","",22,58,"4.52  ±  0.00272","66.28  ±  0.2729","17  ±  0.73","0.288  ±  0.0699","6.39  ±  1.55",1.02,180.2,-0.388,0.996,"2.6  ±  0.18","4.1  ±  0.068","8  ±  0.021","NA  ±  NA"
"23I","G","High straw","",23,52,"7.58  ±  0.0243","72.53  ±  0.1765","14  ±  0.31","1.15  ±  0.00388","15.2  ±  0.1",1.03,784.9,-0.528,0.998,"2.3  ±  0.16","4.2  ±  0.098","7.6  ±  0.035","NA  ±  NA"
"23I","H","High straw","",23,44,"8.73  ±  0.245","48.23  ±  0.571","13  ±  2.3","0.729  ±  0.0464","8.35  ±  0.298",1.05,459.8,-0.426,0.982,"1.9  ±  0.15","3.6  ±  0.21","8.1  ±  0.064","NA  ±  NA"
"23I","I","Medium straw","",21,53,"5.93  ±  0.00321","69.32  ±  0.07582","18  ±  1.5","0.662  ±  0.139","11.2  ±  2.34",1.02,384.7,-0.458,0.992,"2.5  ±  0.074","4.5  ±  0.29","7.7  ±  0.11","NA  ±  NA"
